"","","25%","50%","75%",""
"Bc4",0,0.0704771689573752,0.103548846917477,0.143120684589129,1
"Be2",0,0.174977028888402,0.188632824070093,0.220422279450608,1
"Be3",0,0.211519124976413,0.239020611379757,0.256823361823362,1
"Bg5",0,0.1752156843086,0.194023245848647,0.218681558275692,1
"a4",0,0.0248761646548193,0.0291666666666667,0.0436087061087061,1
"f3",0,0.021194188405812,0.0342490189083125,0.0681315615726448,1
"f4",0,0.0347402760225472,0.074754496647925,0.143579790816316,1
"g3",0,0.0364454529371837,0.0409350625950707,0.0534301814609936,1
"h3",0,0.00456293706293706,0.00976465671755628,0.0653885991063215,1
"other",0,0.0073557189759581,0.0134746816784053,0.0206581049840212,1
