parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
beta_win[1],0.98,0.5,median,-0.031718610999999994,0.00508362,0.0197657,0.034693925,0.07047406299999998
beta_win[2],0.98,0.5,median,-0.08183043499999998,-0.046934525,-0.032791100000000004,-0.018614199999999997,0.01645260499999998
beta_win[3],0.98,0.5,median,-0.03871125699999999,0.0066262275,0.024150949999999997,0.0416982,0.08354956999999992
beta_win[4],0.98,0.5,median,0.015247292,0.050322325,0.0646351,0.07911067499999999,0.11572533999999994
beta_win[5],0.98,0.5,median,-0.19954213999999998,-0.031897999999999996,0.03558385,0.10202875,0.26760471999999985
beta_win[6],0.98,0.5,median,-0.7307667,-0.1475085,0.07850305,0.30898075,0.9821074599999996
beta_win_top[1],0.98,0.5,median,-0.018589768999999978,0.0092476025,0.020428,0.031708824999999996,0.059449332999999986
beta_win_top[2],0.98,0.5,median,-0.061327743,-0.029526900000000002,-0.0169695,-0.00438604,0.02706607399999999
beta_win_top[3],0.98,0.5,median,-6.801857099999973e-4,0.045080524999999996,0.06420365,0.083010875,0.13062910999999963
beta_win_top[4],0.98,0.5,median,-0.034169095999999996,-0.00661508,0.00417739,0.0150838,0.0420083169999999
beta_win_top[5],0.98,0.5,median,-0.028625941999999953,0.026329375000000002,0.0489281,0.07096915000000001,0.12588086999999987
beta_win_top[6],0.98,0.5,median,-2.3253435000000002,-0.6754925,0.009425065,0.6878195,2.305065699999998
beta_freq_top[1],0.98,0.5,median,-0.03908046999999999,-0.0073514750000000005,0.00543417,0.017995,0.04937154799999998
beta_freq_top[2],0.98,0.5,median,-0.079024602,-0.022799675,-4.7657250000000004e-4,0.022262775,0.07896343599999994
beta_freq_top[3],0.98,0.5,median,-0.091394991,-0.02665685,-3.29246e-4,0.0252834,0.08773760399999998
beta_freq_top[4],0.98,0.5,median,-0.025579067,0.0021638775,0.0137031,0.025078325000000002,0.053720067999999975
beta_freq_top[5],0.98,0.5,median,-0.14494564999999998,-0.09298832500000001,-0.07244715,-0.052154125,-0.0036100768000000005
beta_freq_top[6],0.98,0.5,median,-2.3764791999999995,-0.690518,-0.0078712,0.6719057500000001,2.3824911
