parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,response,lower_bp,upper_bp,mid_bp
"fitness_values[1,1]",0.98,0.5,median,0.30658805,0.387059,0.426198,0.46892700000000004,0.58838148,Nc3,1e-4,0.2390874294,0.11959371469999999
"fitness_values[2,1]",0.98,0.5,median,0.29686476,0.378655,0.41684,0.4582,0.5764563399999997,Nd2,1e-4,0.1264956521,0.06329782604999999
"fitness_values[3,1]",0.98,0.5,median,0.31962493999999997,0.424764,0.47309650000000003,0.5266492500000001,0.68277534,e5,1e-4,0.1707626503,0.08543132515
"fitness_values[4,1]",0.98,0.5,median,0.3126353500000001,0.393178,0.43267449999999996,0.47445950000000003,0.5959877799999995,exd5,1e-4,0.222465154,0.111282577
"fitness_values[5,1]",0.98,0.5,median,0.35496145,0.51734525,0.598577,0.68760425,0.9472686999999996,f3,1e-4,0.0134472715,0.00677363575
"fitness_values[6,1]",0.98,0.5,median,0.36106895,0.6601425,0.819369,1.010065,1.578137599999999,other,1e-4,6.372645e-4,3.6863225e-4
"fitness_values[1,2]",0.98,0.5,median,0.28073631000000004,0.353628,0.388833,0.42648400000000003,0.53424317,Nc3,0.2390874294,0.260849594,0.2499685117
"fitness_values[2,2]",0.98,0.5,median,0.27230961000000004,0.34491075000000004,0.3799425,0.417177,0.5240543099999999,Nd2,0.1264956521,0.184717041,0.15560634655
"fitness_values[3,2]",0.98,0.5,median,0.32526591000000005,0.4083025,0.4485745,0.49258425,0.6181090300000001,e5,0.1707626503,0.26401455,0.21738860015
"fitness_values[4,2]",0.98,0.5,median,0.29626015,0.37277925,0.40967149999999997,0.44905924999999997,0.56102416,exd5,0.222465154,0.26042592,0.241445537
"fitness_values[5,2]",0.98,0.5,median,0.27221287,0.36786525,0.4135785,0.46430800000000005,0.6053390199999996,f3,0.0134472715,0.022635625,0.01804144825
"fitness_values[6,2]",0.98,0.5,median,0.29165702000000016,0.5246557500000001,0.6440645,0.7761517499999999,1.1745512999999999,other,6.372645e-4,9.72291e-4,8.0477775e-4
"fitness_values[1,3]",0.98,0.5,median,0.314487,0.39575,0.4355465,0.477413,0.5962627799999995,Nc3,0.260849594,0.297807524,0.279328559
"fitness_values[2,3]",0.98,0.5,median,0.28308159,0.357819,0.3939015,0.43303674999999997,0.5430432899999996,Nd2,0.184717041,0.285831859,0.23527445000000002
"fitness_values[3,3]",0.98,0.5,median,0.27941261,0.35171450000000004,0.38662549999999996,0.42441125,0.5313428299999998,e5,0.26401455,0.307003006,0.285508778
"fitness_values[4,3]",0.98,0.5,median,0.2942353300000001,0.37058825,0.407711,0.447362,0.5592947699999994,exd5,0.26042592,0.279058923,0.2697424215
"fitness_values[5,3]",0.98,0.5,median,0.29040673,0.37668674999999996,0.4176925,0.4624555,0.5887624899999996,f3,0.022635625,0.033919418,0.0282775215
"fitness_values[6,3]",0.98,0.5,median,0.22662048,0.38746625,0.471869,0.5684342499999999,0.8638084899999988,other,9.72291e-4,0.001535757,0.001254024
"fitness_values[1,4]",0.98,0.5,median,0.27935721,0.35020375000000004,0.385382,0.42251724999999996,0.5307343999999993,Nc3,0.297807524,1,0.648903762
"fitness_values[2,4]",0.98,0.5,median,0.26914084000000005,0.3465475,0.383218,0.42396425,0.5391500099999998,Nd2,0.285831859,1,0.6429159295
"fitness_values[3,4]",0.98,0.5,median,0.27613154000000006,0.353408,0.3895035,0.42903674999999997,0.5402739999999996,e5,0.307003006,1,0.653501503
"fitness_values[4,4]",0.98,0.5,median,0.25444465000000005,0.32002325,0.3527985,0.38712850000000004,0.4840902499999998,exd5,0.279058923,1,0.6395294615
"fitness_values[5,4]",0.98,0.5,median,0.29172497000000003,0.37649374999999996,0.41736799999999996,0.461963,0.5869411,f3,0.033919418,1,0.516959709
"fitness_values[6,4]",0.98,0.5,median,0.2754613900000001,0.4947395,0.607002,0.73739925,1.135996199999999,other,0.001535757,1,0.5007678785
