parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
beta_win[1],0.9,0.5,median,0.010748414999999999,0.025517325,0.03601315,0.046317375,0.061431124999999996
beta_win[2],0.9,0.5,median,-0.013214330000000003,0.01288185,0.0297774,0.04658565,0.07142176999999995
beta_win[3],0.9,0.5,median,0.02411629,0.059913875,0.0851237,0.1109525,0.14765579999999998
beta_win[4],0.9,0.5,median,-0.048994825000000006,-0.014484525,0.00980845,0.0334601,0.06833549500000001
beta_win[5],0.9,0.5,median,-0.0364301,0.042902024999999996,0.0974101,0.15106324999999998,0.22855810000000001
beta_win_top[1],0.9,0.5,median,-0.049780065,-0.033160300000000004,-0.0218128,-0.010737225000000001,0.0051068829999999935
beta_win_top[2],0.9,0.5,median,-0.025005305000000002,-0.004610019999999999,0.00927302,0.023442375,0.043515504999999996
beta_win_top[3],0.9,0.5,median,4.307283999999992e-4,0.022503775,0.03800805,0.053029025,0.07537163499999999
beta_win_top[4],0.9,0.5,median,-0.016158025000000003,0.0068371775,0.022823299999999998,0.03878495,0.06217047999999999
beta_win_top[5],0.9,0.5,median,-0.13420575,-0.08335917500000001,-0.0488841,-0.013305325,0.04009002
beta_freq_top[1],0.9,0.5,median,-0.04275368500000001,-0.021256075000000003,-0.0064519799999999995,0.008106745,0.030580679999999996
beta_freq_top[2],0.9,0.5,median,-0.04388588,-0.02421705,-0.01081255,0.0027637625,0.022241669999999998
beta_freq_top[3],0.9,0.5,median,-0.02859471,-0.00106204,0.017756599999999997,0.035649875,0.0610515
beta_freq_top[4],0.9,0.5,median,-0.034112605,-0.00163046,0.0211446,0.043771825,0.07673678999999999
beta_freq_top[5],0.9,0.5,median,-0.07327069,-0.018951175,0.01655305,0.051117974999999996,0.10120639999999999
