parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,response,lower_bp,upper_bp,mid_bp
"fitness_values[1,1]",0.9,0.5,median,0.12836765,0.147039,0.16120050000000002,0.17655125000000002,0.19953554999999998,Bb5,1e-4,0.59583924,0.29796962
"fitness_values[2,1]",0.9,0.5,median,0.13747545,0.15953675,0.17556549999999999,0.19298424999999997,0.21955834999999999,Bc4,1e-4,0.13914447,0.06962223499999999
"fitness_values[3,1]",0.9,0.5,median,0.14441075,0.17504725000000002,0.198316,0.223797,0.26295405000000005,Nc3,1e-4,0.04877746,0.024438730000000002
"fitness_values[4,1]",0.9,0.5,median,0.15270530000000002,0.18164525,0.203577,0.22678624999999997,0.26285679999999995,d4,1e-4,0.06378768,0.03194384
"fitness_values[5,1]",0.9,0.5,median,0.12111945,0.147125,0.166774,0.1882275,0.2211461,other,1e-4,0.01186246,0.00598123
"fitness_values[1,2]",0.9,0.5,median,0.13795079999999998,0.15804449999999998,0.173396,0.18955875,0.2138185,Bb5,0.59583924,0.63034698,0.61309311
"fitness_values[2,2]",0.9,0.5,median,0.13376960000000002,0.15349525,0.168667,0.18475850000000002,0.20915719999999996,Bc4,0.13914447,0.15053963,0.14484205
"fitness_values[3,2]",0.9,0.5,median,0.13756995,0.15902075,0.1752035,0.19233325,0.21843954999999998,Nc3,0.04877746,0.06663216,0.057704809999999995
"fitness_values[4,2]",0.9,0.5,median,0.1328099,0.15326475,0.1688595,0.18496749999999998,0.210256,d4,0.06378768,0.11656934,0.09017850999999999
"fitness_values[5,2]",0.9,0.5,median,0.12668359999999998,0.151236,0.169905,0.19032575,0.22219635000000001,other,0.01186246,0.01437823,0.013120345
"fitness_values[1,3]",0.9,0.5,median,0.12589375,0.14431675,0.1582365,0.17299125,0.1955191,Bb5,0.63034698,0.71536341,0.672855195
"fitness_values[2,3]",0.9,0.5,median,0.12757125,0.14688175000000003,0.16125050000000002,0.17655574999999998,0.19981715,Bc4,0.15053963,0.16829923,0.15941943
"fitness_values[3,3]",0.9,0.5,median,0.13234499999999996,0.1527525,0.168165,0.18439500000000003,0.2091588,Nc3,0.06663216,0.08194891,0.07429053499999999
"fitness_values[4,3]",0.9,0.5,median,0.12807559999999998,0.1473365,0.161794,0.177155,0.20065044999999998,d4,0.11656934,0.12986377,0.12321655499999999
"fitness_values[5,3]",0.9,0.5,median,0.1186418,0.1430735,0.161138,0.180863,0.21142364999999996,other,0.01437823,0.01643591,0.015407070000000002
"fitness_values[1,4]",0.9,0.5,median,0.13382244999999998,0.154195,0.169706,0.18606875,0.21166819999999997,Bb5,0.71536341,1,0.8576817050000001
"fitness_values[2,4]",0.9,0.5,median,0.1401653,0.16122650000000002,0.176942,0.19382850000000001,0.21914814999999999,Bc4,0.16829923,1,0.584149615
"fitness_values[3,4]",0.9,0.5,median,0.11879184999999999,0.13721075,0.151066,0.1660455,0.188673,Nc3,0.08194891,1,0.540974455
"fitness_values[4,4]",0.9,0.5,median,0.12035695,0.13871275,0.152714,0.16781825,0.19082779999999996,d4,0.12986377,1,0.564931885
"fitness_values[5,4]",0.9,0.5,median,0.083154295,0.10277599999999999,0.1170905,0.132395,0.15629175,other,0.01643591,1,0.508217955
