parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
beta_win[1],0.99,0.5,median,-0.0485931525,-0.0309751,-0.024827349999999998,-0.01863225,-4.8298321999997823e-4
beta_win[2],0.99,0.5,median,-0.028370218000000003,-0.011807625,-0.0059267,-1.2282125e-4,0.016466013000000005
beta_win[3],0.99,0.5,median,-0.0029569210999999935,0.03724555,0.0514106,0.065676025,0.10537105500000002
beta_win[4],0.99,0.5,median,-0.12453971499999998,-0.08066480000000001,-0.06602765,-0.051109725,-0.009178621699999908
beta_win[5],0.99,0.5,median,-0.04737671499999999,-0.009977300000000001,0.0037920849999999997,0.017179775,0.05618432800000007
beta_win[6],0.99,0.5,median,-0.0277536815,0.010368875,0.0238646,0.037135025,0.07690556550000002
beta_win[7],0.99,0.5,median,-0.06899741199999998,-0.01329495,0.0064123900000000005,0.02611705,0.08088815450000002
beta_win_top[1],0.99,0.5,median,-0.019291501500000002,-0.006806555000000001,-0.002353625,0.0019961349999999996,0.014813623000000026
beta_win_top[2],0.99,0.5,median,-0.036380148499999994,-0.0217764,-0.01672435,-0.011670324999999999,0.0025503080500000404
beta_win_top[3],0.99,0.5,median,-0.07057843149999998,-0.0432942,-0.033688499999999996,-0.024042825,0.003976336000000166
beta_win_top[4],0.99,0.5,median,-0.034536416,-0.003111645,0.0079411,0.01882445,0.04952226550000016
beta_win_top[5],0.99,0.5,median,-0.054952213999999985,-0.02679755,-0.0170452,-0.007255787499999999,0.021303557500000132
beta_win_top[6],0.99,0.5,median,-0.03238071149999999,-0.00424381,0.005502895000000001,0.015232875,0.04310646500000005
beta_win_top[7],0.99,0.5,median,-0.0432092395,-0.008135765,0.0037643900000000003,0.015818600000000002,0.04964920900000004
beta_freq_top[1],0.99,0.5,median,-0.032248084499999996,-0.012969425,-0.0061207250000000005,7.57977e-4,0.02000644750000001
beta_freq_top[2],0.99,0.5,median,0.0026652985000000053,0.026313125,0.034793450000000004,0.043339975,0.06692665700000001
beta_freq_top[3],0.99,0.5,median,-0.0672399245,-0.0312317,-0.0185775,-0.00594961,0.028663799000000042
beta_freq_top[4],0.99,0.5,median,-0.029096923999999993,7.3641875e-4,0.0114165,0.021811024999999998,0.051132792000000135
beta_freq_top[5],0.99,0.5,median,-0.017816037999999996,0.01209025,0.022427299999999997,0.03265345,0.0604887745000002
beta_freq_top[6],0.99,0.5,median,-0.0378306545,-0.0080090575,0.00219792,0.012453199999999998,0.04194019450000012
beta_freq_top[7],0.99,0.5,median,-0.124989465,-0.063758225,-0.0429094,-0.021856275,0.03641462900000014
