parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,response,lower_bp,upper_bp,mid_bp
"fitness_values[1,1]",0.98,0.5,median,0.16366372,0.19648325,0.2120355,0.2291965,0.27398926999999995,Nf6,1e-4,0.56124526,0.28067263
"fitness_values[2,1]",0.98,0.5,median,0.18114677,0.21844275000000002,0.23603,0.25478524999999996,0.3060383199999999,d5,1e-4,0.18365513,0.091877565
"fitness_values[3,1]",0.98,0.5,median,0.16479169000000002,0.20189174999999998,0.21929749999999998,0.23809425,0.2889192599999998,d6,1e-4,0.03005081,0.015075405
"fitness_values[4,1]",0.98,0.5,median,0.17499391000000003,0.21260225,0.23032550000000002,0.2494,0.3003230499999997,e6,1e-4,0.04290328,0.021501640000000002
"fitness_values[5,1]",0.98,0.5,median,0.18033591,0.22019175000000002,0.2387265,0.25931750000000003,0.31286877999999985,f5,1e-4,0.02528553,0.012692765
"fitness_values[6,1]",0.98,0.5,median,0.17516768,0.2133045,0.231491,0.25104175,0.30233733,g6,1e-4,0.02640585,0.013252925
"fitness_values[7,1]",0.98,0.5,median,0.1734357,0.21592825,0.2352665,0.2570245,0.3150017899999997,other,1e-4,0.01334076,0.00672038
"fitness_values[1,2]",0.98,0.5,median,0.16304298,0.19570575,0.211047,0.227884,0.2718213999999999,Nf6,0.56124526,0.60497843,0.5831118449999999
"fitness_values[2,2]",0.98,0.5,median,0.16687986000000002,0.20049775,0.216132,0.2333905,0.27897403,d5,0.18365513,0.24030957,0.21198234999999999
"fitness_values[3,2]",0.98,0.5,median,0.17073362,0.2059185,0.222678,0.24073500000000003,0.2889172599999998,d6,0.03005081,0.03265881,0.031354810000000004
"fitness_values[4,2]",0.98,0.5,median,0.16944774,0.20406925,0.2205175,0.23815475000000003,0.2850225899999999,e6,0.04290328,0.04627182,0.044587550000000004
"fitness_values[5,2]",0.98,0.5,median,0.15929804000000003,0.19314175,0.2087075,0.225873,0.27157097999999985,f5,0.02528553,0.03059302,0.027939275
"fitness_values[6,2]",0.98,0.5,median,0.16825399,0.203567,0.220043,0.23837450000000002,0.28587103999999997,g6,0.02640585,0.02844949,0.02742767
"fitness_values[7,2]",0.98,0.5,median,0.15596852,0.19112225,0.2075235,0.22529475,0.27227623999999995,other,0.01334076,0.01817226,0.01575651
"fitness_values[1,3]",0.98,0.5,median,0.16308775,0.195547,0.210732,0.227543,0.2716673899999999,Nf6,0.60497843,0.66917891,0.63707867
"fitness_values[2,3]",0.98,0.5,median,0.16319098,0.195628,0.21107350000000002,0.2278965,0.27266244999999995,d5,0.24030957,0.26887418,0.254591875
"fitness_values[3,3]",0.98,0.5,median,0.16334591999999998,0.19687475,0.21265699999999998,0.23005625000000002,0.2755980999999998,d6,0.03265881,0.03557224,0.034115525
"fitness_values[4,3]",0.98,0.5,median,0.16164833,0.19494175000000002,0.210531,0.22748924999999998,0.2727315199999999,e6,0.04627182,0.0482236,0.04724771
"fitness_values[5,3]",0.98,0.5,median,0.16842239,0.203362,0.219845,0.23771825000000002,0.28514642999999973,f5,0.03059302,0.03522602,0.03290952
"fitness_values[6,3]",0.98,0.5,median,0.15648134000000002,0.188948,0.204105,0.22074749999999999,0.26513008,g6,0.02844949,0.03283216,0.030640825
"fitness_values[7,3]",0.98,0.5,median,0.16054675,0.19497775,0.2111385,0.22857725,0.27447808,other,0.01817226,0.02188568,0.02002897
"fitness_values[1,4]",0.98,0.5,median,0.17082461000000002,0.20521,0.22109499999999999,0.23892125,0.28633218,Nf6,0.66917891,1,0.8345894549999999
"fitness_values[2,4]",0.98,0.5,median,0.15814784,0.19085425,0.2057675,0.22236850000000002,0.26620531,d5,0.26887418,1,0.63443709
"fitness_values[3,4]",0.98,0.5,median,0.15971394,0.19248749999999998,0.20816449999999997,0.2251805,0.2694585499999999,d6,0.03557224,1,0.51778612
"fitness_values[4,4]",0.98,0.5,median,0.15733084,0.1891755,0.2041465,0.22083324999999998,0.2644764999999999,e6,0.0482236,1,0.5241118
"fitness_values[5,4]",0.98,0.5,median,0.15489489,0.18734775,0.202411,0.21865025000000002,0.2627692199999999,f5,0.03522602,1,0.51761301
"fitness_values[6,4]",0.98,0.5,median,0.16307687,0.19755650000000002,0.21368150000000002,0.2307115,0.2770452599999996,g6,0.03283216,1,0.5164160799999999
"fitness_values[7,4]",0.98,0.5,median,0.15682636,0.189798,0.20547749999999998,0.22238375,0.2671701199999998,other,0.02188568,1,0.51094284
