parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
beta_win[1],0.98,0.5,median,-0.10288317999999999,-0.030715775,-0.00118645,0.0283583,0.09948732200000004
beta_win[2],0.98,0.5,median,-0.099917444,-0.0522166,-0.032689499999999996,-0.013153950000000001,0.034640179000000035
beta_win[3],0.98,0.5,median,-0.06927836099999998,-0.011571425,0.0111151,0.033565475,0.08924746700000005
beta_win[4],0.98,0.5,median,-0.06517119199999999,-0.021938850000000003,-0.003921655,0.0139005,0.05843502800000001
beta_win[5],0.98,0.5,median,-0.15452993999999998,-0.06715035,-0.032322649999999994,0.0022279350000000003,0.08926615000000002
beta_win[6],0.98,0.5,median,-0.082713635,0.18463975,0.30103800000000003,0.41698675,0.7018883300000003
beta_win[7],0.98,0.5,median,-0.05296716599999998,0.016374375,0.0446375,0.07279605,0.14134832000000008
beta_win[8],0.98,0.5,median,-0.026716249999999973,0.058482175,0.09346895,0.12839450000000002,0.2132473900000001
beta_win[9],0.98,0.5,median,-0.24345896999999994,0.0024616975,0.099081,0.19508050000000002,0.4361746500000001
beta_win[10],0.98,0.5,median,-0.24477882999999995,-0.081946775,-0.01703965,0.048072075,0.2105228100000006
beta_win_top[1],0.98,0.5,median,-0.08287908599999999,-0.040033200000000005,-0.022888,-0.0055246225,0.03856049800000002
beta_win_top[2],0.98,0.5,median,-0.034724739,0.0019924599999999997,0.01696495,0.031963349999999995,0.069394064
beta_win_top[3],0.98,0.5,median,-0.07912659199999998,-0.0283594,-0.007284465,0.013404125,0.06609984800000018
beta_win_top[4],0.98,0.5,median,-0.020692217,0.015899,0.0303672,0.045009625,0.08075396500000007
beta_win_top[5],0.98,0.5,median,-0.186201,-0.107549,-0.07547645,-0.04351152500000001,0.035906758000000094
beta_win_top[6],0.98,0.5,median,-0.10332251999999997,-0.025271625,0.00672914,0.039226,0.11983204
beta_win_top[7],0.98,0.5,median,-0.048049343999999994,0.0088643925,0.031978549999999994,0.055559725,0.11347128000000006
beta_win_top[8],0.98,0.5,median,-0.044816222999999974,0.023922825000000002,0.051286349999999994,0.0790574,0.1446603800000001
beta_win_top[9],0.98,0.5,median,0.057643781000000005,0.1336585,0.16342050000000002,0.19229475000000001,0.2640594400000003
beta_win_top[10],0.98,0.5,median,-0.15390157,-0.06791505,-0.0342928,-0.0010440275,0.07796620100000004
beta_freq_top[1],0.98,0.5,median,-0.050501982999999986,-5.1970175e-4,0.0188987,0.03823275,0.08412694700000002
beta_freq_top[2],0.98,0.5,median,-0.01067569899999999,0.0283852,0.044574550000000004,0.0605796,0.10122534000000007
beta_freq_top[3],0.98,0.5,median,-0.022582229999999984,0.018287175,0.0353965,0.052571225,0.09394698900000001
beta_freq_top[4],0.98,0.5,median,-0.15147563999999997,-0.09975362500000001,-0.07885675,-0.058181275000000005,-0.006739533799999895
beta_freq_top[5],0.98,0.5,median,-0.12924041999999997,-0.018889250000000003,0.021769499999999997,0.061995875000000006,0.15666024000000003
beta_freq_top[6],0.98,0.5,median,-0.16714804,-0.06362455,-0.023143450000000003,0.017056574999999997,0.11574331000000006
beta_freq_top[7],0.98,0.5,median,-0.019208761999999987,0.062367275,0.0950019,0.12729124999999997,0.20670932000000006
beta_freq_top[8],0.98,0.5,median,9.015744300000984e-4,0.07574555000000001,0.106225,0.13697,0.21431327000000006
beta_freq_top[9],0.98,0.5,median,-0.17795354,-0.0992621,-0.0675926,-0.0357171,0.04265295400000017
beta_freq_top[10],0.98,0.5,median,-0.11494596999999997,-0.011163774999999999,0.03188725,0.07471577500000001,0.18405091000000015
