parameter,outer_width,inner_width,point_est,ll,l,m,h,hh,response,lower_bp,upper_bp,mid_bp
"fitness_values[1,1]",0.98,0.5,median,0.20916969000000002,0.26291525,0.2873135,0.31310625000000003,0.38328703,Bc4,1e-4,0.070477169,0.035288584500000005
"fitness_values[2,1]",0.98,0.5,median,0.22866986000000003,0.2729695,0.2926875,0.313703,0.3720372500000001,Be2,1e-4,0.174977029,0.0875385145
"fitness_values[3,1]",0.98,0.5,median,0.26070463,0.313621,0.337712,0.36290325,0.43224602,Be3,1e-4,0.211519125,0.1058095625
"fitness_values[4,1]",0.98,0.5,median,0.22535797,0.26909675,0.289081,0.30994974999999997,0.36794112,Bg5,1e-4,0.175215684,0.087657842
"fitness_values[5,1]",0.98,0.5,median,0.21567171000000002,0.27474275000000004,0.30202799999999996,0.33072250000000003,0.40873515000000005,a4,1e-4,0.024876165,0.012488082499999999
"fitness_values[6,1]",0.98,0.5,median,0.14725887000000001,0.26339775,0.32178450000000003,0.38582150000000004,0.5735137600000002,f3,1e-4,0.021194188,0.010647094
"fitness_values[7,1]",0.98,0.5,median,0.22731243,0.28736475,0.314968,0.34474425000000003,0.4246981700000005,f4,1e-4,0.034740276,0.017420138
"fitness_values[8,1]",0.98,0.5,median,0.25430098,0.315701,0.3430045,0.37215349999999997,0.45188167000000035,g3,1e-4,0.036445453,0.018272726500000003
"fitness_values[9,1]",0.98,0.5,median,0.03751568300000003,0.1766605,0.248774,0.3293845,0.5524518900000002,h3,1e-4,0.004562937,0.0023314685000000003
"fitness_values[10,1]",0.98,0.5,median,0.10710071000000002,0.233809,0.293665,0.35993875000000003,0.5471436000000002,other,1e-4,0.007355719,0.0037278595
"fitness_values[1,2]",0.98,0.5,median,0.21884963,0.26379699999999995,0.284109,0.30554825,0.36443925000000005,Bc4,0.070477169,0.103548847,0.087013008
"fitness_values[2,2]",0.98,0.5,median,0.24452197,0.2894535,0.3099175,0.33169425,0.39071822000000006,Be2,0.174977029,0.188632824,0.18180492650000002
"fitness_values[3,2]",0.98,0.5,median,0.21785599,0.25950175,0.278121,0.297663,0.3511291100000001,Be3,0.211519125,0.239020611,0.22526986799999998
"fitness_values[4,2]",0.98,0.5,median,0.23108563000000001,0.27463,0.293887,0.31463250000000004,0.37113932000000005,Bg5,0.175215684,0.194023246,0.184619465
"fitness_values[5,2]",0.98,0.5,median,0.21080788,0.26178075,0.28554100000000004,0.310555,0.37918111,a4,0.024876165,0.029166667,0.027021416
"fitness_values[6,2]",0.98,0.5,median,0.23605170000000003,0.29344775,0.319675,0.34748125,0.42446722000000003,f3,0.021194188,0.034249019,0.027721603499999997
"fitness_values[7,2]",0.98,0.5,median,0.21403697,0.262426,0.284821,0.3085435,0.37368956000000036,f4,0.034740276,0.074754497,0.0547473865
"fitness_values[8,2]",0.98,0.5,median,0.2318198,0.288167,0.31350100000000003,0.34054025,0.41427024000000007,g3,0.036445453,0.040935063,0.038690258000000005
"fitness_values[9,2]",0.98,0.5,median,0.17435738000000003,0.2646185,0.307935,0.354551,0.48569906,h3,0.004562937,0.009764657,0.0071637969999999995
"fitness_values[10,2]",0.98,0.5,median,0.18569471,0.27682275,0.3178075,0.36226100000000006,0.48262810000000006,other,0.007355719,0.013474682,0.0104152005
"fitness_values[1,3]",0.98,0.5,median,0.22553863999999998,0.26952925000000005,0.28963300000000003,0.31042925,0.36956104999999995,Bc4,0.103548847,0.14312068,0.1233347635
"fitness_values[2,3]",0.98,0.5,median,0.21719682,0.25969675,0.27830849999999996,0.29801900000000003,0.35210434,Be2,0.188632824,0.22042228,0.204527552
"fitness_values[3,3]",0.98,0.5,median,0.23098455,0.27297875,0.29195150000000003,0.3122855,0.3680043800000001,Be3,0.239020611,0.25682336,0.2479219855
"fitness_values[4,3]",0.98,0.5,median,0.21472148000000002,0.2557255,0.27405,0.293411,0.34718615,Bg5,0.194023246,0.21868156,0.20635240300000002
"fitness_values[5,3]",0.98,0.5,median,0.19462785,0.246701,0.27038850000000003,0.29495725,0.3626214100000001,a4,0.029166667,0.04360871,0.0363876885
"fitness_values[6,3]",0.98,0.5,median,0.2384079,0.297756,0.325809,0.355545,0.43586917000000025,f3,0.034249019,0.06813156,0.0511902895
"fitness_values[7,3]",0.98,0.5,median,0.20441388000000002,0.24753375,0.26658550000000003,0.2870185,0.3421642700000001,f4,0.074754497,0.14357979,0.10916714350000001
"fitness_values[8,3]",0.98,0.5,median,0.19689753,0.24447599999999997,0.26573250000000004,0.2881895,0.35008311,g3,0.040935063,0.05343018,0.0471826215
"fitness_values[9,3]",0.98,0.5,median,0.21774670000000002,0.27853225,0.306288,0.33590925,0.41777225000000007,h3,0.009764657,0.0653886,0.0375766285
"fitness_values[10,3]",0.98,0.5,median,0.18363187,0.2392185,0.2652105,0.29261175,0.3677865900000003,other,0.013474682,0.0206581,0.017066391
"fitness_values[1,4]",0.98,0.5,median,0.2119466,0.25317725,0.272007,0.29181225,0.34629068000000013,Bc4,0.14312068,1,0.57156034
"fitness_values[2,4]",0.98,0.5,median,0.211225,0.253391,0.2721195,0.29256424999999997,0.3464148100000002,Be2,0.22042228,1,0.61021114
"fitness_values[3,4]",0.98,0.5,median,0.22535287,0.267171,0.286093,0.30585825,0.36046201,Be3,0.25682336,1,0.62841168
"fitness_values[4,4]",0.98,0.5,median,0.23243344000000002,0.27621625,0.296097,0.31666950000000005,0.37471709000000003,Bg5,0.21868156,1,0.60934078
